university,country,city,program,field,level,tuition_usd_yearly,min_cgpa,scholarship_available,scholarship_details,application_deadline,qs_rank,ielts_min,accommodation_available,part_time_work,website,source_url,admission_requirements,source_dataset
Air University,Pakistan,Islamabad,BS Computer Science; BS Artificial Intelligence; BS Data Science; BS Cyber Security; BS Software Engineering,Computer Science,Bachelor,963,2.0,Yes,Air University Merit Scholarship (tuition fee waiver for top entry test rankers); HEC Need-Based Scholarship; Ehsaas / Honhaar Scholarship; Benevolent Fund and Armed Forces quota assistance.,Fall 2026 admissions Phase-1 & Phase-2 deadlines ran between May 2026 and July 2,9999.0,0.0,Yes,No,,https://webdata.au.edu.pk/Pages/Admission/fees_financial.aspx,"Minimum 50% marks in Intermediate (F.Sc Pre-Engineering / ICS) or A-Level with Mathematics or equivalent, plus qualifying score in Air University Entry Test (AUET) / NTS NAT.",Tayyaba-verified-pak
COMSATS University Islamabad (CUI),Pakistan,Islamabad,BS Computer Science; BS Artificial Intelligence; BS Data Science; BS Cyber Security; BS Software Engineering,Computer Science,Bachelor,1126,2.0,Yes,CUI Islamabad Top Merit Scholarship; selected merit-based fee waivers for specified programs; Punjab Worker Welfare Fund Talent Scholarship; government/external scholarships announced from time to tim...,Fall 2026: 8 July 2026 for CUI Islamabad. First merit list: 28 July 2026; classe,9999.0,0.0,Varies,No,,https://islamabad.comsats.edu.pk/,At least 50% marks in Intermediate/HSSC with Mathematics or equivalent with Mathematics certified by IBCC. Pre-Medical applicants can be eligible with specified Mathematics deficiency courses.,Tayyaba-verified-pak
FAST National University of Computer and Emerging Sciences,Pakistan,Islamabad,BS Computer Science; BS Artificial Intelligence; BS Data Science,Computer Science,Bachelor,3200,2.5,Yes,Merit/need-based scholarships — confirm on official site,2026-07-15,9999.0,0.0,Yes,No,,https://nu.edu.pk/Admissions,,Azmat-KB
Ghulam Ishaq Khan Institute of Engineering Sciences and Technology (GIK Institute),Pakistan,"Topi, Swabi, Khyber Pakhtunkhwa",BS Artificial Intelligence; BS Computer Science; BS Data Science; BS Cyber Security; BS Software Engineering,Computer Science,Bachelor,3298,2.4,Yes,"GIK Merit Scholarship; GIK Financial Assistance; top-female financial assistance; CMEEF, CM-Honhaar, PEEF, KPEF, Sindh Scholarship, Ihsan Trust and other donor scholarships.",15 June 2026 for undergraduate applications; financial assistance documents due ,9999.0,0.0,Yes,No,,https://giki.edu.pk/,"For AI, CS, Cyber Security and Data Science: HSSC with Mathematics, Physics and another elective, with at least 60% in Mathematics, Physics and overall. A-Level routes have specified D-or-above subject requirements.",Tayyaba-verified-pak
Information Technology University (ITU),Pakistan,Lahore,BS Computer Science; BS Artificial Intelligence; BS Software Engineering; BS Computer Engineering; BS Electrical Engineering,Computer Science,Bachelor,1151,2.0,Yes,"Top 3 Merit Scholarship for new BS intake; CGPA Merit Scholarship for existing BS students; external options including Honhaar, PEEF and HEC Need Based Scholarship.",2026 Round 2 online admission deadline: 5 August 2026. Main 2026 round deadline ,9999.0,0.0,Varies,No,,https://itu.edu.pk/,"For BS Computer Science and BS Artificial Intelligence: 50% in Matric/equivalent and 50% in Intermediate/equivalent in eligible groups; ITU Admission Test minimum 50%, or qualifying SAT/USAT exemption route.",Tayyaba-verified-pak
Institute of Business Administration (IBA),Pakistan,Karachi,BS Computer Science,Computer Science,Bachelor,3316,2.4,Yes,"IBA Financial Assistance / Need-based scholarships; Merit-based scholarships; Endowed scholarships and external government/corporate scholarship schemes (e.g., Sindh Endowment Fund, HEC Need-Based).",Fall 2026 round application cycle closed.,9999.0,0.0,Varies,No,,https://admissions.iba.edu.pk/ugrd_criteria.php?id=MQ==,At least 60% marks in HSSC (Pre-Engineering or General Group with Mathematics) OR A-Level with minimum 1 B and 2 Cs in 3 principal subjects including Mathematics.,Tayyaba-verified-pak
Lahore University of Management Sciences (LUMS),Pakistan,Lahore,BS Computer Science,Computer Science,Bachelor,5464,2.8,Yes,100 Undergraduate Merit Scholarships; LUMS Financial Assistance (need-based combination of fee waiver and interest-free loan); National Outreach Programme (NOP) full scholarship; external donor option...,"Fall 2026 application deadline was January 27, 2026. Financial Aid application d",9999.0,0.0,Yes,No,,https://lums.edu.pk/programmes/bs-computer-science,Matric/O-Levels with minimum 70% (or average B grade in O-Levels) and FSc/ICS with minimum 70% or A-Levels with average 2 Bs and 1 C across 3 full-credit subjects.,Tayyaba-verified-pak
NED University of Engineering and Technology,Pakistan,Karachi,BS Computer Science,Computer Science,Bachelor,467,2.4,Yes,Need-based and Merit-based financial assistance; HEC Need-Based Scholarships; Sindh Educational Endowment Fund (SEEF); University Alumni and Donor Scholarships; Punjab/Other Provincial Endowment Funds...,"For 2026 Undergraduate Admissions, call lists and registration phases run throug",9999.0,0.0,Yes,No,,https://www.neduet.edu.pk/,"At least 60% overall in HSC/Equivalent (Pre-Engineering, Computer Science, or Pre-Medical with additional math requirement). Candidates appearing in HSC-II with at least 57% in HSC-I/O-Level are eligible to apply.",Tayyaba-verified-pak
National University of Computer & Emerging Sciences (FAST-NUCES),Pakistan,Karachi,BS Computer Science; BS Artificial Intelligence; BS Data Science; BS Software Engineering; BS Cyber Security,Computer Science,Bachelor,1263,2.4,Yes,Merit scholarships; need-based financial assistance/interest-free loans.,"May 20–June 30, 2026 application submission; June 29–July 10, 2026 admission tes",9999.0,0.0,Yes,No,,https://khi.nu.edu.pk/,At least 60% in SSC/Matric and 50% in HSSC/equivalent; Mathematics at HSSC level is required for the general computing eligibility stated by FAST.,Tayyaba-verified-pak
National University of Sciences and Technology (NUST),Pakistan,Islamabad,BS Computer Science; BS Artificial Intelligence; BS Data Science,Computer Science,Bachelor,1521,2.4,Yes,"Need-based scholarships (partial/full academic expenditure); interest-free loans; external scholarships such as PEEF, CMEEF, BEEF, SEEF, HEC etc.","Fall 2026 cycle is closed. For 2027 UG admissions, NUST lists tentative NET Seri",9999.0,0.0,Yes,No,,https://nust.edu.pk/,"Minimum 60% aggregate marks in SSC and HSSC/equivalent. Computing applicants need an eligible background such as Pre-Engineering, Computer Science, Pre-Medical, or HSSC/A-Level with Mathematics as specified by NUST.",Tayyaba-verified-pak
"Punjab University College of Information Technology (PUCIT / FCIT), University of the Punjab",Pakistan,Lahore,BS Computer Science; BS Software Engineering; BS Information Technology; BS Data Science,Computer Science,Bachelor,368,2.0,Yes,Chief Minister's Honhaar Scholarship Program; PEEF Scholarships; PU Need-Based Financial Assistance; HEC Need-Based Scholarships.,Fall 2026 undergraduate admissions cycle processed July–August 2026; merit lists,9999.0,0.0,Yes,No,,https://pucit.edu.pk/,At least 50% marks in F.Sc (Pre-Engineering / ICS / General Science with Math) or equivalent 12-year qualification with Mathematics.,Tayyaba-verified-pak
Quaid-i-Azam University (QAU),Pakistan,Islamabad,BS Computer Science,Computer Science,Bachelor,748,2.0,Yes,"HEC Need Based Scholarship; Ehsaas / Honhaar Undergraduate Scholarship; QAU Student Assistance Fund; Punjab & provincial endowment funds (PEEF, BEEF, SEEF).",Fall 2026 regular applications closed in August 2026 (Merit lists published Augu,9999.0,0.0,Yes,No,,https://cs.qau.edu.pk/,Intermediate (F.Sc / ICS / A-Level or equivalent) with Mathematics with minimum 50% marks as per QAU eligibility rules.,Tayyaba-verified-pak
University of Engineering and Technology (UET) Lahore,Pakistan,Lahore,BS Computer Science,Computer Science,Bachelor,842,2.4,Yes,Honhaar Undergraduate Scholarship Program; HEC Need-Based Scholarship; PEEF Scholarships; UET Merit Scholarships and Alumni Trust Financial Assistance.,Fall 2026 application cycle closed in July–August 2026; second adjusted fee chal,9999.0,0.0,Yes,No,,https://admission.uet.edu.pk/,"Minimum 60% marks in Intermediate (F.Sc Pre-Engineering, ICS with Math/Physics/CS) or equivalent qualification; ECAT 2026 entry test score required.",Tayyaba-verified-pak
University of Karachi (UBIT - Department of Computer Science),Pakistan,Karachi,BS Computer Science; BS Software Engineering,Computer Science,Bachelor,368,2.2,Yes,Sindh Educational Endowment Fund (SEEF); HEC Need-Based Scholarship; KU Financial Assistance; Donor and Alumni Scholarships.,Undergraduate entry-test based admissions open typically in October–November for,9999.0,0.0,Yes,No,,https://www.uok.edu.pk/faculties/computerscience/ubit.php,Minimum 55% marks in Intermediate Science (Pre-Engineering / Computer Science group) or equivalent; University of Karachi Entry Test mandatory.,Tayyaba-verified-pak
National University of Singapore,Singapore,Singapore,BS Computer Science,Computer Science,Bachelor,22000,3.6,Yes,Tuition grant + merit awards,2027-02-28,8.0,6.5,Yes,Yes,,,,demo-sample
Bilkent University,Turkey,Ankara,BS Computer Engineering,Computer Science,Bachelor,14000,3.0,Yes,Merit scholarship up to 100%,2026-11-01,364.0,6.0,Yes,Yes,,,,demo-sample
Middle East Technical University,Turkey,Ankara,BS Mechanical Engineering,Engineering,Bachelor,1000,3.2,Yes,Full tuition waiver for top students,2026-10-31,336.0,6.0,Yes,Yes,,,,demo-sample
Ajman University,UAE,Ajman,BS Computer Science; BS Software Engineering,Computer Science,Bachelor,7200,2.5,Yes,Merit/need-based scholarships — confirm on official site,2026-08-15,9999.0,5.0,Yes,Yes,,https://www.ajman.ac.ae/en/admission,,Azmat-KB
American University of Sharjah (AUS),UAE,Sharjah,BS Computer Science; BS Computer Engineering,Computer Science,Bachelor,15000,3.3,Yes,Merit/need-based scholarships — confirm on official site,2026-03-01,9999.0,6.5,Yes,Yes,,https://www.aus.edu/admissions,,Azmat-KB
Mohamed bin Zayed University of Artificial Intelligence (MBZUAI),UAE,Abu Dhabi,Artificial Intelligence (Engineering),Computer Science,Bachelor,45000,3.6,Yes,Merit-based and need-based scholarships up to 100% of tuition and cost of attendance; some industry-sponsored seats.,2026-09-07,9999.0,6.5,Yes,Yes,https://mbzuai.ac.ae/,https://mbzuai.ac.ae/admissions/undergraduate-admissions; https://mbzuai.ac.ae/academics/undergraduate-program/bachelor-,Recognised secondary qualification; minimum overall average 90% or equivalent; leadership/entrepreneurial potential; strong mathematics/science; coding not required; official transcripts.,Tayyaba-verified
NYU Abu Dhabi,UAE,Abu Dhabi,Computer Science,Computer Science,Bachelor,68574,3.0,Yes,"Need-based institutional aid available to all students regardless of citizenship; CSS Profile deadlines: Nov 10, Jan 10, Feb 1 by plan.",Early Decision I: Nov 1; Early Decision II: Jan 1; Regular Decision: Jan 5 (curr,9999.0,0.0,Yes,Yes,https://nyuad.nyu.edu/,https://nyuad.nyu.edu/en/academics/undergraduate/majors-and-minors/computer-science-major.html; https://nyuad.nyu.edu/en,Common Application; school report/transcript; teacher/recommender; academic records; quantitative preparation including calculus is recommended/required for CS readiness; NYU is test-optional through 2027-28.,Tayyaba-verified
University of Sharjah,UAE,Sharjah,BS Computer Science; BS Information Technology,Computer Science,Bachelor,8800,2.8,Yes,Merit/need-based scholarships — confirm on official site,2026-07-01,9999.0,5.5,Yes,Yes,,https://www.sharjah.ac.ae/en/Admission,,Azmat-KB
Imperial College London,UK,London,Computing (BEng),Computer Science,Bachelor,57785,3.0,Yes,Imperial offers scholarships/funding for international students; specific eligibility varies by award.,"13 January 2027, 18:00 UK time; TMUA required",9999.0,6.5,Yes,Yes,https://www.imperial.ac.uk/,https://www.imperial.ac.uk/study/courses/undergraduate/computing-beng/; https://www.imperial.ac.uk/study/apply/english-l,Course-specific academic requirements; TMUA required for 2027 entry; UCAS application. Exact qualification requirements depend on curriculum.,Tayyaba-verified
University College London (UCL),UK,London,Computer Science,Computer Science,Bachelor,61722,3.0,Yes,UCL Global Undergraduate Scholarship and other funding opportunities; eligibility varies.,"13 January 2027, 18:00 UK time",9999.0,0.0,Yes,Yes,https://www.ucl.ac.uk/,https://www.ucl.ac.uk/study/prospective-students/undergraduate/courses/computer-science-bsc,A*A*A at A level; A* in Mathematics or Further Mathematics; GCSE English and Mathematics at grade C/4; UCAS application.,Tayyaba-verified
University of Edinburgh,UK,Edinburgh,Artificial Intelligence and Computer Science / Computer Science,Computer Science,Bachelor,29250,3.0,Yes,University/college scholarships available; eligibility varies; international scholarship opportunities are listed by Edinburgh.,"13 January 2027, 6:00pm GMT",9999.0,6.5,Yes,Yes,https://www.ed.ac.uk/,https://study.ed.ac.uk/programmes/undergraduate/66-artificial-intelligence-and-computer-science; https://study.ed.ac.uk/,"Academic qualifications, personal statement, English evidence and reference; international applicants apply through UCAS. Programme-specific academic requirements apply.",Tayyaba-verified
University of Manchester,UK,Manchester,MBA,Business,Master,35000,3.0,Yes,International merit award 20%,2027-06-30,34.0,6.5,Yes,Yes,,,,demo-sample
University of Oxford,UK,Oxford,Computer Science,Computer Science,Bachelor,84557,3.0,Yes,Reach Oxford Scholarship and other Oxford/college funding schemes; availability depends on eligibility.,"15 October 2026, 6:00pm BST",9999.0,0.0,Yes,Yes,https://www.ox.ac.uk/,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/computer-science,A*AA including A*A in Mathematics and Further Mathematics if available; IB 39 with 766 at HL including 7 in HL Mathematics; TMUA required for 2027 entry; UCAS application.,Tayyaba-verified
Carnegie Mellon University,USA,Pittsburgh,Computer Science / Artificial Intelligence,Computer Science,Bachelor,69702,3.0,No,No institutional financial aid for undergraduate international students; external/private funding may be used.,CMU application deadlines vary by admission plan; use current undergraduate admi,9999.0,7.5,Yes,Yes,https://www.cmu.edu/,https://www.cmu.edu/admission/majors-programs/school-of-computer-science/computer-science; https://www.cmu.edu/admission,"For School of Computer Science: 4 years English, 4 years mathematics, 1 year physics, 2 years chemistry/biology/CS, 2 years foreign language, 3 electives; application and school-specific requirements.",Tayyaba-verified
Massachusetts Institute of Technology (MIT),USA,Cambridge,Computer Science and Engineering (Course 6-3),Computer Science,Bachelor,66720,3.0,Yes,Need-based financial aid; MIT states it meets 100% of demonstrated need for international students who apply for aid.,2027-01-04,9999.0,0.0,Yes,Yes,https://www.mit.edu/,https://catalog.mit.edu/mit/undergraduate-education/costs/; https://mitadmissions.org/apply/firstyear/deadlines-requirem,"High school diploma/equivalent; strong preparation in math/science; SAT or ACT required; official transcript, school report and recommendations.",Tayyaba-verified
Stanford University,USA,Stanford,Computer Science,Computer Science,Bachelor,67731,3.0,Yes,Need-based financial aid; Stanford meets demonstrated need for admitted students regardless of citizenship who request aid; no merit scholarships except limited athletic scholarships.,2027-01-05,9999.0,0.0,Yes,Yes,https://www.stanford.edu/,https://admission.stanford.edu/apply/first-year/; https://admission.stanford.edu/apply/international/; https://financial,Common Application; transcript; school report/counselor recommendation; two teacher recommendations; ACT or SAT; high-school diploma/equivalent.,Tayyaba-verified
University of Illinois Urbana-Champaign,USA,Urbana-Champaign,Computer Science (Grainger Engineering),Computer Science,Bachelor,47800,3.0,Yes,International scholarships/awards available; eligibility varies by scholarship.,Early Action: Nov 1; Regular: Jan 5 (current first-year timeline),9999.0,0.0,Yes,Yes,https://illinois.edu/,https://www.admissions.illinois.edu/; https://cost.illinois.edu/Home/UgradBase?DiffCode=ENG&TableType=1&TermCode=120268;,First-year application; academic preparation; CS is charged at the Engineering rate. International applicants must satisfy Illinois international requirements and submit required academic records.,Tayyaba-verified
National University of Sciences and Technology (NUST),Pakistan,Islamabad,MS Data Science,Data Science,Master,3200,3.0,Yes,Need-based + merit scholarships available,2027-06-30,355.0,6.0,Yes,No,https://nust.edu.pk,https://nust.edu.pk,"Bachelor's/transcript, English proficiency, program-specific requirements",unverified_placeholder
Lahore University of Management Sciences (LUMS),Pakistan,Lahore,MBA,Business,Master,9500,3.2,Yes,LUMS National Outreach Programme,2027-03-15,401.0,6.5,Yes,No,https://lums.edu.pk,https://lums.edu.pk,"Bachelor's/transcript, English proficiency, program-specific requirements",unverified_placeholder
Aga Khan University,Pakistan,Karachi,MBBS,Medicine,Bachelor,12000,3.3,Yes,Merit + need-based aid,2027-05-01,,6.5,Yes,No,https://aku.edu,https://aku.edu,"Bachelor's/transcript, English proficiency, program-specific requirements",unverified_placeholder
University of Engineering and Technology (UET) Lahore,Pakistan,Lahore,MSc Mechanical Engineering,Engineering,Master,2400,2.8,No,,2027-07-15,,6.0,Yes,Yes,https://uet.edu.pk,https://uet.edu.pk,"Bachelor's/transcript, English proficiency, program-specific requirements",unverified_placeholder
University of Toronto,Canada,Toronto,Master of Business Administration,Business,Master,42000,3.3,Yes,Rotman merit scholarships,2027-01-15,21.0,7.0,Yes,Yes,https://utoronto.ca,https://utoronto.ca,"Bachelor's/transcript, English proficiency, program-specific requirements",unverified_placeholder
University of Toronto,Canada,Toronto,PhD Computer Science,Computer Science,PhD,8000,3.5,Yes,Fully-funded PhD assistantships,2026-12-01,21.0,7.0,Yes,Yes,https://utoronto.ca,https://utoronto.ca,"Bachelor's/transcript, English proficiency, program-specific requirements",unverified_placeholder
University of British Columbia (UBC),Canada,Vancouver,MD Program,Medicine,Bachelor,27000,3.6,No,,2027-08-01,34.0,7.0,Yes,No,https://ubc.ca,https://ubc.ca,"Bachelor's/transcript, English proficiency, program-specific requirements",unverified_placeholder
University of Melbourne,Australia,Melbourne,Master of Data Science,Data Science,Master,33000,3.0,Yes,Melbourne Graduate Scholarships,2027-10-31,14.0,6.5,Yes,Yes,https://unimelb.edu.au,https://unimelb.edu.au,"Bachelor's/transcript, English proficiency, program-specific requirements",unverified_placeholder
Monash University,Australia,Melbourne,Bachelor of Medicine,Medicine,Bachelor,45000,3.5,No,,2027-09-30,42.0,7.0,Yes,No,https://monash.edu,https://monash.edu,"Bachelor's/transcript, English proficiency, program-specific requirements",unverified_placeholder
University of Sydney,Australia,Sydney,PhD Engineering,Engineering,PhD,9000,3.4,Yes,Sydney Research Excellence Scholarship,2026-11-30,19.0,6.5,Yes,Yes,https://sydney.edu.au,https://sydney.edu.au,"Bachelor's/transcript, English proficiency, program-specific requirements",unverified_placeholder
Technical University of Munich (TUM),Germany,Munich,MSc Data Engineering and Analytics,Data Science,Master,0,3.0,Yes,DAAD partial scholarships,2027-05-31,37.0,6.5,Yes,Yes,https://tum.de,https://tum.de,"Bachelor's/transcript, English proficiency, program-specific requirements",unverified_placeholder
RWTH Aachen University,Germany,Aachen,Master of Business and Management,Business,Master,1500,2.8,No,,2027-06-15,106.0,6.5,Yes,Yes,https://rwth-aachen.de,https://rwth-aachen.de,"Bachelor's/transcript, English proficiency, program-specific requirements",unverified_placeholder
Karlsruhe Institute of Technology (KIT),Germany,Karlsruhe,MSc Mechanical Engineering,Engineering,Master,1500,3.0,No,,2027-07-15,96.0,6.5,Yes,Yes,https://kit.edu,https://kit.edu,"Bachelor's/transcript, English proficiency, program-specific requirements",unverified_placeholder
National University of Singapore,Singapore,Singapore,Master of Science in Business Analytics,Data Science,Master,41000,3.3,Yes,SINGA scholarship for research tracks,2027-01-31,8.0,7.0,Yes,Yes,https://nus.edu.sg,https://nus.edu.sg,"Bachelor's/transcript, English proficiency, program-specific requirements",unverified_placeholder
National University of Singapore,Singapore,Singapore,Doctor of Medicine,Medicine,Bachelor,22000,3.6,No,,2027-02-28,8.0,7.0,Yes,No,https://nus.edu.sg,https://nus.edu.sg,"Bachelor's/transcript, English proficiency, program-specific requirements",unverified_placeholder
University of Malaya,Malaysia,Kuala Lumpur,MBA,Business,Master,6500,2.8,Yes,Postgraduate research scholarships,2027-06-30,65.0,6.0,Yes,Yes,https://um.edu.my,https://um.edu.my,"Bachelor's/transcript, English proficiency, program-specific requirements",unverified_placeholder
Sunway University,Malaysia,Petaling Jaya,MSc Engineering Management,Engineering,Master,8000,2.7,Yes,Sunway merit scholarship,2027-05-30,,6.0,Yes,Yes,https://sunwayuniversity.edu.my,https://sunwayuniversity.edu.my,"Bachelor's/transcript, English proficiency, program-specific requirements",unverified_placeholder
American University of Sharjah (AUS),UAE,Sharjah,MBA,Business,Master,25000,3.0,Yes,AUS graduate merit scholarships,2027-04-30,379.0,6.5,Yes,No,https://aus.edu,https://aus.edu,"Bachelor's/transcript, English proficiency, program-specific requirements",unverified_placeholder
Mohamed bin Zayed University of Artificial Intelligence (MBZUAI),UAE,Abu Dhabi,PhD Machine Learning,Computer Science,PhD,0,3.3,Yes,Fully funded PhD program (tuition + stipend),2027-01-15,,6.5,Yes,Yes,https://mbzuai.ac.ae,https://mbzuai.ac.ae,"Bachelor's/transcript, English proficiency, program-specific requirements",unverified_placeholder
Imperial College London,UK,London,MSc Data Science,Data Science,Master,41000,3.3,Yes,President's Scholarship,2027-03-31,6.0,7.0,Yes,Yes,https://imperial.ac.uk,https://imperial.ac.uk,"Bachelor's/transcript, English proficiency, program-specific requirements",unverified_placeholder
University of Oxford,UK,Oxford,Doctor of Medicine,Medicine,Bachelor,45000,3.7,Yes,Clarendon Scholarship,2026-10-15,3.0,7.5,Yes,No,https://ox.ac.uk,https://ox.ac.uk,"Bachelor's/transcript, English proficiency, program-specific requirements",unverified_placeholder
University of Manchester,UK,Manchester,MSc Advanced Engineering,Engineering,Master,32000,3.0,Yes,Manchester Global Futures Scholarship,2027-05-01,32.0,6.5,Yes,Yes,https://manchester.ac.uk,https://manchester.ac.uk,"Bachelor's/transcript, English proficiency, program-specific requirements",unverified_placeholder
Massachusetts Institute of Technology (MIT),USA,Cambridge,PhD Data Science,Data Science,PhD,0,3.7,Yes,Fully funded PhD assistantships,2026-12-15,1.0,7.0,Yes,Yes,https://mit.edu,https://mit.edu,"Bachelor's/transcript, English proficiency, program-specific requirements",unverified_placeholder
Stanford University,USA,Stanford,MBA,Business,Master,76000,3.6,Yes,Knight-Hennessy Scholars,2027-01-05,5.0,7.0,Yes,No,https://stanford.edu,https://stanford.edu,"Bachelor's/transcript, English proficiency, program-specific requirements",unverified_placeholder
Carnegie Mellon University,USA,Pittsburgh,MSc Mechanical Engineering,Engineering,Master,52000,3.3,Yes,CMU merit scholarships,2027-02-01,52.0,7.0,Yes,Yes,https://cmu.edu,https://cmu.edu,"Bachelor's/transcript, English proficiency, program-specific requirements",unverified_placeholder
